Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Price
2010-01-04,31.969983028393862,22.99011322916717,37.11267071223759,31.969983028393862,31.969983028393862,-1.5996887575812226,-1.5996887575812226,-1.5996887575812226,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.07981711814690706,-0.07981711814690706,-0.07981711814690706,0.13028413931169242,0.13028413931169242,0.13028413931169242,0.0,0.0,0.0,30.37029427081264
2010-01-05,31.99286943262052,23.521530889621257,37.82050192076308,31.99286943262052,31.99286943262052,-1.5455357673165324,-1.5455357673165324,-1.5455357673165324,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.03480083145310199,-0.03480083145310199,-0.03480083145310199,0.1394208428825774,0.1394208428825774,0.1394208428825774,0.0,0.0,0.0,30.447333665303987
2010-01-06,32.01575583684718,23.253995591810742,37.403605800092166,32.01575583684718,32.01575583684718,-1.6172121593862583,-1.6172121593862583,-1.6172121593862583,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.10970255895390937,-0.10970255895390937,-0.10970255895390937,0.1426461783136592,0.1426461783136592,0.1426461783136592,0.0,0.0,0.0,30.398543677460918
2010-01-07,32.03864224107382,23.2100948272374,37.3012081740924,32.03864224107382,32.03864224107382,-1.622621847651652,-1.622621847651652,-1.622621847651652,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.11177402336372358,-0.11177402336372358,-0.11177402336372358,0.13930795445807947,0.13930795445807947,0.13930795445807947,0.0,0.0,0.0,30.416020393422173
2010-01-08,32.06152864530048,23.301864355653226,37.755465745836474,32.06152864530048,32.06152864530048,-1.5977132602910245,-1.5977132602910245,-1.5977132602910245,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.07644439610350047,-0.07644439610350047,-0.07644439610350047,0.128886914558484,0.128886914558484,0.128886914558484,0.0,0.0,0.0,30.463815385009454
2010-01-11,32.130187857980445,23.518414259075385,37.589398225311854,32.130187857980445,32.130187857980445,-1.6776869469340587,-1.6776869469340587,-1.6776869469340587,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.0798171181465177,-0.0798171181465177,-0.0798171181465177,0.052285949958466645,0.052285949958466645,0.052285949958466645,0.0,0.0,0.0,30.452500911046386
2010-01-12,32.15307426220709,23.15137786685553,37.82169778591504,32.15307426220709,32.15307426220709,-1.673395200418714,-1.673395200418714,-1.673395200418714,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.03480083145306749,-0.03480083145306749,-0.03480083145306749,0.011561409780361204,0.011561409780361204,0.011561409780361204,0.0,0.0,0.0,30.479679061788378
2010-01-13,32.175960666433745,22.905821785564896,38.1119868683799,32.175960666433745,32.175960666433745,-1.7961986741539406,-1.7961986741539406,-1.7961986741539406,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.10970255895400685,-0.10970255895400685,-0.10970255895400685,-0.03634033645392604,-0.03634033645392604,-0.03634033645392604,0.0,0.0,0.0,30.379761992279803
2010-01-14,32.198847070660406,23.021755143167873,37.173806979472054,32.198847070660406,32.198847070660406,-1.8528224102964133,-1.8528224102964133,-1.8528224102964133,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.11177402336381217,-0.11177402336381217,-0.11177402336381217,-0.09089260818659338,-0.09089260818659338,-0.09089260818659338,0.0,0.0,0.0,30.346024660363994
2010-01-15,32.22173347488706,22.726453163001395,37.547057651307476,32.22173347488706,32.22173347488706,-1.8779927444533975,-1.8779927444533975,-1.8779927444533975,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.07644439610324814,-0.07644439610324814,-0.07644439610324814,-0.15139256960414144,-0.15139256960414144,-0.15139256960414144,0.0,0.0,0.0,30.343740730433662
2010-01-19,32.313279091793675,22.947435850173644,37.25739718835303,32.313279091793675,32.313279091793675,-2.11836226124298,-2.11836226124298,-2.11836226124298,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.03480083145309317,-0.03480083145309317,-0.03480083145309317,-0.4334056510438789,-0.4334056510438789,-0.4334056510438789,0.0,0.0,0.0,30.194916830550696
2010-01-20,32.33616549602033,23.271870454404812,37.40995464833907,32.33616549602033,32.33616549602033,-2.2678243195637138,-2.2678243195637138,-2.2678243195637138,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.10970255895392034,-0.10970255895392034,-0.10970255895392034,-0.5079659818637856,-0.5079659818637856,-0.5079659818637856,0.0,0.0,0.0,30.068341176456613
2010-01-21,32.35905190024699,22.234294477207943,36.65069055040793,32.35905190024699,32.35905190024699,-2.343403984261424,-2.343403984261424,-2.343403984261424,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.11177402336390078,-0.11177402336390078,-0.11177402336390078,-0.5814741821515156,-0.5814741821515156,-0.5814741821515156,0.0,0.0,0.0,30.015647915985564
2010-01-22,32.381938304473636,22.91502132719714,37.272862286496974,32.381938304473636,32.381938304473636,-2.3791225990169145,-2.3791225990169145,-2.3791225990169145,-1.650155778746008,-1.650155778746008,-1.650155778746008,-0.07644439610380926,-0.07644439610380926,-0.07644439610380926,-0.652522424167097,-0.652522424167097,-0.652522424167097,0.0,0.0,0.0,30.002815705456722
