Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Price
2010-01-04,30.369800324097504,24.98573538266137,34.308737772994895,30.369800324097504,30.369800324097504,-0.3935985425441579,-0.3935985425441579,-0.3935985425441579,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.029040000493579132,-0.029040000493579132,-0.029040000493579132,0.026202424990401638,0.026202424990401638,0.026202424990401638,0.0,0.0,0.0,29.976201781553346
2010-01-05,30.35084681486984,25.725429049098434,34.49672491751368,30.35084681486984,30.35084681486984,-0.29730904891003107,-0.29730904891003107,-0.29730904891003107,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.012479144072344175,-0.012479144072344175,-0.012479144072344175,0.1059310622032935,0.1059310622032935,0.1059310622032935,0.0,0.0,0.0,30.05353776595981
2010-01-06,30.331893305642165,25.494576793993385,34.4110847389591,30.331893305642165,30.331893305642165,-0.23520431488966656,-0.23520431488966656,-0.23520431488966656,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.033879556775881836,-0.033879556775881836,-0.033879556775881836,0.18943620892719568,0.18943620892719568,0.18943620892719568,0.0,0.0,0.0,30.096688990752497
2010-01-07,30.3129397964145,25.906105112606372,34.36040796460744,30.3129397964145,30.3129397964145,-0.16094549306033307,-0.16094549306033307,-0.16094549306033307,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.045288846318462146,-0.045288846318462146,-0.045288846318462146,0.2751043202991094,0.2751043202991094,0.2751043202991094,0.0,0.0,0.0,30.15199430335417
2010-01-08,30.293986287186833,25.650473907861517,34.685376858925196,30.293986287186833,30.293986287186833,-0.006520549030627948,-0.006520549030627948,-0.006520549030627948,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,0.022997313851459887,0.022997313851459887,0.022997313851459887,0.3612431041588925,0.3612431041588925,0.3612431041588925,0.0,0.0,0.0,30.287465738156204
2010-01-11,30.237125759503826,26.23990990258819,35.00371548883207,30.237125759503826,30.237125759503826,0.185483632624124,0.185483632624124,0.185483632624124,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.029040000493592052,-0.029040000493592052,-0.029040000493592052,0.6052846001586965,0.6052846001586965,0.6052846001586965,0.0,0.0,0.0,30.42260939212795
2010-01-12,30.21817225027616,25.778466198463367,34.68279209325798,30.21817225027616,30.21817225027616,0.2730794423276349,0.2730794423276349,0.2730794423276349,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.012479144072464275,-0.012479144072464275,-0.012479144072464275,0.6763195534410796,0.6763195534410796,0.6763195534410796,0.0,0.0,0.0,30.491251692603797
2010-01-13,30.199218741048487,25.987035518263347,34.99088371670054,30.199218741048487,30.199218741048487,0.3150501457957301,0.3150501457957301,0.3150501457957301,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.033879556775985885,-0.033879556775985885,-0.033879556775985885,0.7396906696126964,0.7396906696126964,0.7396906696126964,0.0,0.0,0.0,30.514268886844217
2010-01-14,30.180265231820822,26.284346673318893,34.57844009712453,30.180265231820822,30.180265231820822,0.3580753169165627,0.3580753169165627,0.3580753169165627,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.0452888463184731,-0.0452888463184731,-0.0452888463184731,0.7941251302760163,0.7941251302760163,0.7941251302760163,0.0,0.0,0.0,30.538340548737384
2010-01-15,30.161311722593155,26.367296807812732,35.466928161285466,30.161311722593155,30.161311722593155,0.47078703291675594,0.47078703291675594,0.47078703291675594,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,0.022997313851532544,0.022997313851532544,0.022997313851532544,0.8385506861062039,0.8385506861062039,0.8385506861062039,0.0,0.0,0.0,30.63209875550991
2010-01-19,30.085497685682483,26.365573885120327,34.99856775086139,30.085497685682483,30.085497685682483,0.499781818452537,0.499781818452537,0.499781818452537,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.012479144072388829,-0.012479144072388829,-0.012479144072388829,0.9030219295659064,0.9030219295659064,0.9030219295659064,0.0,0.0,0.0,30.58527950413502
2010-01-20,30.06654417645481,25.969262968170348,35.22344447478848,30.06654417645481,30.06654417645481,0.46516794980723675,0.46516794980723675,0.46516794980723675,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.03387955677593207,-0.03387955677593207,-0.03387955677593207,0.8898084736241495,0.8898084736241495,0.8898084736241495,0.0,0.0,0.0,30.531712126262047
2010-01-21,30.047590667227144,26.12881954795844,34.75543299850242,30.047590667227144,30.047590667227144,0.42932539913373835,0.42932539913373835,0.42932539913373835,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,-0.04528884631848407,-0.04528884631848407,-0.04528884631848407,0.8653752124932029,0.8653752124932029,0.8653752124932029,0.0,0.0,0.0,30.476916066360882
2010-01-22,30.028637157999476,26.23075874607441,34.86790278788987,30.028637157999476,30.028637157999476,0.4626558987163316,0.4626558987163316,0.4626558987163316,-0.3907609670409804,-0.3907609670409804,-0.3907609670409804,0.022997313851374122,0.022997313851374122,0.022997313851374122,0.8304195519059381,0.8304195519059381,0.8304195519059381,0.0,0.0,0.0,30.491293056715808
