Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Price
2015-05-06,33.8765495659132,25.5683308402649,42.91600035849046,33.8765495659132,33.8765495659132,0.28670794107743097,0.28670794107743097,0.28670794107743097,0.28670794107743097,0.28670794107743097,0.28670794107743097,0.0,0.0,0.0,34.16325750699063
2015-05-07,33.8765495659132,25.76697440291322,42.92330891709084,33.8765495659132,33.8765495659132,0.2814355381236478,0.2814355381236478,0.2814355381236478,0.2814355381236478,0.2814355381236478,0.2814355381236478,0.0,0.0,0.0,34.15798510403685
2015-05-08,33.8765495659132,26.470225925560253,42.015067767373154,33.8765495659132,33.8765495659132,0.2757796091698019,0.2757796091698019,0.2757796091698019,0.2757796091698019,0.2757796091698019,0.2757796091698019,0.0,0.0,0.0,34.152329175083004
2015-05-11,33.8765495659132,26.177867328579506,41.683324011445976,33.8765495659132,33.8765495659132,0.2556487711275746,0.2556487711275746,0.2556487711275746,0.2556487711275746,0.2556487711275746,0.2556487711275746,0.0,0.0,0.0,34.132198337040776
2015-05-12,33.8765495659132,26.422894866956113,41.959338699981586,33.8765495659132,33.8765495659132,0.24763417916625433,0.24763417916625433,0.24763417916625433,0.24763417916625433,0.24763417916625433,0.24763417916625433,0.0,0.0,0.0,34.124183745079456
2015-05-13,33.8765495659132,25.904012622894072,41.30403901673835,33.8765495659132,33.8765495659132,0.23887435760716166,0.23887435760716166,0.23887435760716166,0.23887435760716166,0.23887435760716166,0.23887435760716166,0.0,0.0,0.0,34.11542392352036
2015-05-14,33.8765495659132,26.418871540704174,42.601128495421506,33.8765495659132,33.8765495659132,0.22934043943249952,0.22934043943249952,0.22934043943249952,0.22934043943249952,0.22934043943249952,0.22934043943249952,0.0,0.0,0.0,34.1058900053457
2015-05-15,33.8765495659132,25.698971605004377,42.13458834298967,33.8765495659132,33.8765495659132,0.21902639004284372,0.21902639004284372,0.21902639004284372,0.21902639004284372,0.21902639004284372,0.21902639004284372,0.0,0.0,0.0,34.09557595595604
2015-05-18,33.8765495659132,26.100933695982476,42.151245637843935,33.8765495659132,33.8765495659132,0.1837443270204721,0.1837443270204721,0.1837443270204721,0.1837443270204721,0.1837443270204721,0.1837443270204721,0.0,0.0,0.0,34.06029389293367
2015-05-19,33.8765495659132,25.38193657026223,42.27842669921733,33.8765495659132,33.8765495659132,0.17079845233565377,0.17079845233565377,0.17079845233565377,0.17079845233565377,0.17079845233565377,0.17079845233565377,0.0,0.0,0.0,34.047348018248854
2015-05-20,33.8765495659132,25.967850240084037,42.13963459024872,33.8765495659132,33.8765495659132,0.15746829709040752,0.15746829709040752,0.15746829709040752,0.15746829709040752,0.15746829709040752,0.15746829709040752,0.0,0.0,0.0,34.03401786300361
